m_code,m_email,m_pw,m_phone,m_birth,m_gender,m_nickName,m_coupon,m_regDate,m_is_deleted,deleted_at
1,user1@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000001,1988-04-12,1,user1,1,2025-10-01 12:49,0,
2,user2@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000002,1995-09-30,1,user2,1,2025-10-01 12:49,0,
3,user3@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000003,2001-01-21,1,user3,1,2025-10-01 12:49,0,
4,user4@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000004,1978-07-05,0,user4,1,2025-10-01 12:49,0,
5,user5@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000005,1983-11-17,1,user5,1,2025-10-01 12:49,1,2026-03-07 12:49
6,user6@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000006,1999-06-02,0,user6,1,2025-10-01 12:49,0,
7,user7@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000007,2005-12-25,1,user7,1,2025-10-01 12:49,0,
8,user8@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000008,1972-03-14,0,user8,1,2025-10-01 12:49,0,
9,user9@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000009,1989-08-09,0,user9,1,2025-10-01 12:49,0,
10,user10@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000010,1993-02-27,1,user10,1,2025-10-01 12:49,0,
11,user11@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000011,1980-05-18,1,user11,1,2025-10-01 12:49,0,
12,user12@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000012,2002-10-03,1,user12,1,2025-10-01 12:49,1,2026-02-26 12:49
13,user13@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000013,1997-01-15,0,user13,1,2025-10-01 12:49,0,
14,user14@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000014,1986-09-21,0,user14,1,2025-10-01 12:49,0,
15,user15@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000015,2004-04-07,1,user15,1,2025-10-01 12:49,0,
16,user16@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000016,1975-12-19,0,user16,1,2025-10-01 12:49,0,
17,user17@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000017,1991-03-28,0,user17,1,2025-10-01 12:49,0,
18,user18@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000018,1982-06-11,1,user18,1,2025-10-01 12:49,1,2026-03-01 12:49
19,user19@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000019,2000-08-23,1,user19,1,2025-10-01 12:49,0,
20,user20@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000020,1996-11-05,0,user20,1,2025-10-01 12:49,0,
21,user21@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000021,1987-02-14,1,user21,1,2025-10-01 12:49,0,
22,user22@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000022,2003-07-30,1,user22,1,2025-10-01 12:49,0,
23,user23@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000023,1979-01-09,1,user23,1,2025-10-01 12:49,1,2026-03-20 12:49
24,user24@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000024,1998-10-19,0,user24,1,2025-10-01 12:49,0,
25,user25@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000025,1984-06-25,0,user25,1,2025-10-01 12:49,0,
26,user26@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000026,2001-03-03,1,user26,1,2025-10-01 12:49,0,
27,user27@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000027,1992-12-08,0,user27,1,2025-10-01 12:49,1,2026-02-28 12:49
28,user28@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000028,1973-05-27,0,user28,1,2025-10-01 12:49,0,
29,user29@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000029,1985-09-12,1,user29,1,2025-10-01 12:49,0,
30,user30@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000030,2004-02-20,1,user30,1,2025-10-01 12:49,0,
31,user31@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000031,1994-11-29,0,user31,1,2025-10-01 12:49,1,2026-03-14 12:49
32,user32@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000032,1981-04-16,1,user32,1,2025-10-01 12:49,0,
33,user33@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000033,1990-07-07,1,user33,1,2025-10-01 12:49,0,
34,user34@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000034,2002-12-01,0,user34,1,2025-10-01 12:49,0,
35,user35@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000035,1976-08-13,1,user35,1,2025-10-01 12:49,0,
36,user36@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000036,1989-01-22,0,user36,1,2025-10-01 12:49,1,2026-03-18 12:49
37,user37@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000037,1997-05-10,1,user37,1,2025-10-01 12:49,0,
38,user38@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000038,1983-09-04,0,user38,1,2025-10-01 12:49,0,
39,user39@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000039,2000-06-18,0,user39,1,2025-11-01 12:49,0,
40,user40@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000040,1974-10-26,0,user40,1,2025-11-01 12:49,0,
41,user41@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000041,1986-03-11,1,user41,1,2025-11-01 12:49,0,
42,user42@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000042,1993-07-19,0,user42,1,2025-11-01 12:49,1,2026-03-05 12:49
43,user43@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000043,2005-01-05,1,user43,1,2025-11-01 12:49,0,
44,user44@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000044,1971-12-30,0,user44,1,2025-11-01 12:49,0,
45,user45@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000045,1999-04-08,1,user45,1,2025-11-01 12:49,0,
